"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
15148,88715.5158390887,87836.9569780016,1982,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.990096897337771
15149,137295755.392952,49112.3523731232,1973,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.000357712095560125
15149,137295755.392952,13231718.9736095,1975,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0963738386211517
15149,137295755.392952,54522120.4855715,1982,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.397114392426224
15149,137295755.392952,9577697.24089844,1988,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0697596019154873
15149,137295755.392952,11188844.6338537,1993,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0814944686514908
15149,137295755.392952,11417755.6530821,2001,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0831617526732967
15150,311824.78966248,306789.015228639,1981,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.983850628299015
15263,78943.3989289552,2228.04382638089,2003,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0282233075419771
15263,78943.3989289552,76715.3724941574,2013,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.971776912762486
15267,1361156.08732633,6055.34013658762,1948,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.00444867432395787
15267,1361156.08732633,931337.067938931,1979,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.684225032390166
15267,1361156.08732633,417657.431947274,2004,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.30684021901387
15269,14068.4214731543,14068.4214731543,1968,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",1
15270,681446.230783835,667029.325556418,1973,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.978843664289061
15270,681446.230783835,12006.7930570414,1979,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0176195751251432
45092,223143680.137315,1998835.02948549,1993,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.00895761434182443
45097,287356107.346746,21037583.6956881,1961,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0732108459080097
45097,287356107.346746,3081649.91677453,1976,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0107241497152381
45097,287356107.346746,4348445.6700581,1981,FALSE,2,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0151326022272808
45097,287356107.346746,7578221.45611078,1994,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0263722303523771
45097,287356107.346746,26470407.0471393,1998,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0921170852833067
45097,287356107.346746,75838039.2097812,2001,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.263916573446164
45099,145856168.622467,16196761.0656525,1961,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.111046116311859
45099,145856168.622467,6169266.55648237,1974,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0422969190453019
45099,145856168.622467,1221362.13151771,1977,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.00837374341485055
45099,145856168.622467,24577848.6183758,2001,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.168507433387976
45104,65088500.5370598,3000310.72187509,1968,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.046095864816655
45104,65088500.5370598,609286.125109017,1974,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.00936088740840026
45104,65088500.5370598,3772413.53839886,1975,FALSE,2,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.0579582185374042
45104,65088500.5370598,13288273.4780542,1979,FALSE,2,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.204157007281005
45104,65088500.5370598,7048.13944494724,2000,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",0.000108285478798735
45104,65088500.5370598,6398.53438446778,2004,FALSE,1,"20815","JPN","Kitakami Mountains","JPN",FALSE,"20815",TRUE,"",9.83051434842104e-05
